feature,psi
 Operating profit per person,0.02091822093802336
 Working Capital to Total Assets,0.019571624267804875
 Cash flow rate,0.019171777679071696
 Non-industry income and expenditure/revenue,0.019089697343562362
 Quick Assets/Total Assets,0.01749114118387085
 Working Capital/Equity,0.016957956235053622
 Current Liability to Current Assets,0.016692554927162984
 Current Ratio,0.01666196582938484
 Per Share Net profit before tax (Yuan ¥),0.016466374293225602
 Inventory/Working Capital,0.015213407174788394
 Net profit before tax/Paid-in capital,0.014694605598871488
 Persistent EPS in the Last Four Seasons,0.014370384936987184
 Quick Ratio,0.013975614540291437
 Net Value Per Share (C),0.013875544441510533
 Cash/Current Liability,0.013566351226391953
 Revenue per person,0.0135289239656271
 Net Value Per Share (A),0.012966849103532843
 ROA(B) before interest and depreciation after tax,0.012919836592495341
 Net Value Per Share (B),0.012913724932379194
 ROA(C) before interest and depreciation before interest,0.012339122784498259
 Inventory Turnover Rate (times),0.012222746368396356
 Total expense/Assets,0.012164065330973898
 Long-term fund suitability ratio (A),0.012041731327483892
 Fixed Assets to Assets,0.011923222622287703
 Equity to Long-term Liability,0.011736782328906686
 Pre-tax net Interest Rate,0.01113798628548523
 Degree of Financial Leverage (DFL),0.011099980497951537
 ROA(A) before interest and % after tax,0.010480662115156617
 Retained Earnings to Total Assets,0.010455208546972726
 Continuous interest rate (after tax),0.010409082680395861
 Total Asset Turnover,0.010357542471195288
 Tax rate (A),0.010036761904436552
 Working capitcal Turnover Rate,0.00981428562384656
 Net Income to Total Assets,0.009809203725261251
 Operating profit/Paid-in capital,0.009728754173648747
 Quick Assets/Current Liability,0.009724922776740287
 CFO to Assets,0.00938164026194838
 Total income/Total expense,0.00933681863176682
 Borrowing dependency,0.00910485610561268
 Cash Reinvestment %,0.009034210117058798
 Net Income to Stockholder's Equity,0.009023272927046034
 Net Value Growth Rate,0.008829263959303247
 Net Worth Turnover Rate (times),0.008655171792095226
 Interest Coverage Ratio (Interest expense to EBIT),0.008332056981746924
 Realized Sales Gross Profit Growth Rate,0.008261302378369133
 Cash Flow Per Share,0.008051137354085284
 After-tax net Interest Rate,0.007865908565578195
 Regular Net Profit Growth Rate,0.00751540291330207
 Operating Profit Per Share (Yuan ¥),0.007440139286198126
 Allocation rate per person,0.0074014087807671505
 Inventory/Current Liability,0.0072601341958772915
 Current Assets/Total Assets,0.007232488472004798
 After-tax Net Profit Growth Rate,0.007157703020333443
 Total Asset Return Growth Rate Ratio,0.007138627801743147
 Interest Expense Ratio,0.00708716463787383
 Current Liability to Assets,0.006974220301020394
 Continuous Net Profit Growth Rate,0.006260431154732472
 Accounts Receivable Turnover,0.00613730707667272
 Cash Turnover Rate,0.006122222225283479
 Average Collection Days,0.005906784919841033
 Quick Asset Turnover Rate,0.005791900998977425
 Inventory and accounts receivable/Net value,0.0057044201387559095
 Cash Flow to Sales,0.005566840321438582
 Total Asset Growth Rate,0.005515598697815413
 Cash/Total Assets,0.0053979585904475194
 Current Liabilities/Equity,0.005280544389543341
 Current Liability to Equity,0.005280544389543341
 Total debt/Total net worth,0.005069775677544238
 Operating Funds to Liability,0.005020973469675824
 Realized Sales Gross Margin,0.004974576767229166
 Equity to Liability,0.004822166946842392
 Net worth/Assets,0.004803809589515722
 Liability to Equity,0.004792523625984758
 Debt ratio %,0.0047385254969212415
 Operating Profit Rate,0.004698532736700441
 Operating Expense Rate,0.004597960337426776
 Operating Gross Margin,0.004593921377904431
 Fixed Assets Turnover Frequency,0.004546716148425966
 Gross Profit to Sales,0.004494014025953823
 Interest-bearing debt interest rate,0.004250724630843942
 No-credit Interval,0.004095465551638681
 Total assets to GNP price,0.004053063939842156
 Cash Flow to Total Assets,0.0038543675903254158
 Revenue Per Share (Yuan ¥),0.0038256375448142196
 Cash Flow to Equity,0.0037839075366037115
 Current Asset Turnover Rate,0.0037177113378473185
 Current Liabilities/Liability,0.0034203165604699782
 Current Liability to Liability,0.0034203165604699782
 Long-term Liability to Current Assets,0.002532713785969985
 Operating Profit Growth Rate,0.0025013358896250185
 Cash Flow to Liability,0.002384084639673841
 Contingent liabilities/Net worth,0.001763429396269269
 Research and development expense rate,0.0010714630164719331
 Net Income Flag,0.0
 Liability-Assets Flag,0.0
